sentence,control_id,applicable,implementation_status,justification
"Organisasi telah menetapkan kebijakan keamanan informasi yang disetujui oleh direksi dan dikomunikasikan ke seluruh karyawan.",A.5.1,Yes,Implemented,"Kebijakan keamanan informasi telah didokumentasikan dan disosialisasikan."
"Belum ada pembagian tugas dan tanggung jawab keamanan informasi yang jelas di organisasi.",A.5.2,Yes,Not Implemented,"Peran dan tanggung jawab keamanan informasi belum didefinisikan secara formal."
"Setiap departemen memiliki penanggung jawab keamanan informasi yang ditunjuk secara resmi.",A.5.2,Yes,Implemented,"Tanggung jawab keamanan informasi telah dialokasikan dengan jelas."
"Fungsi pengembangan dan operasional TI masih dilakukan oleh orang yang sama tanpa pemisahan tugas.",A.5.3,Yes,Not Implemented,"Pemisahan tugas belum diterapkan untuk fungsi kritis."
"Organisasi telah memisahkan tugas otorisasi pembayaran dan pelaksanaan transaksi keuangan.",A.5.3,Yes,Implemented,"Pemisahan tugas telah diterapkan pada proses keuangan."
"Manajemen belum menunjukkan komitmen terhadap keamanan informasi dan tidak mengalokasikan sumber daya yang memadai.",A.5.4,Yes,Not Implemented,"Tanggung jawab manajemen terhadap keamanan informasi belum dilaksanakan."
"Direksi secara aktif mendukung program keamanan informasi dengan menyediakan anggaran dan sumber daya yang cukup.",A.5.4,Yes,Implemented,"Manajemen telah menunjukkan komitmen dan tanggung jawab terhadap keamanan informasi."
"Daftar kontak otoritas terkait seperti BSSN dan kepolisian siber telah dipelihara dan diperbarui.",A.5.5,Yes,Implemented,"Kontak dengan otoritas relevan telah didokumentasikan."
"Organisasi tidak memiliki kontak darurat dengan pihak berwenang untuk pelaporan insiden keamanan.",A.5.5,Yes,Not Implemented,"Belum ada prosedur kontak dengan otoritas untuk insiden keamanan."
"Tim keamanan aktif berpartisipasi dalam forum ISACA dan komunitas keamanan siber Indonesia.",A.5.6,Yes,Implemented,"Kontak dengan kelompok kepentingan khusus dipelihara secara aktif."
"Organisasi tidak mengikuti forum atau komunitas keamanan informasi apapun.",A.5.6,Yes,Not Implemented,"Tidak ada partisipasi dalam kelompok kepentingan keamanan informasi."
"Organisasi secara rutin mengumpulkan dan menganalisis feed ancaman siber dari berbagai sumber.",A.5.7,Yes,Implemented,"Proses intelijen ancaman telah diimplementasikan."
"Tidak ada proses formal untuk mengumpulkan informasi tentang ancaman keamanan yang relevan.",A.5.7,Yes,Not Implemented,"Intelijen ancaman belum diterapkan secara sistematis."
"Setiap proyek TI baru wajib melalui penilaian risiko keamanan informasi di fase perencanaan.",A.5.8,Yes,Implemented,"Keamanan informasi telah terintegrasi dalam manajemen proyek."
"Proyek pengembangan aplikasi dilakukan tanpa mempertimbangkan aspek keamanan informasi.",A.5.8,Yes,Not Implemented,"Keamanan informasi belum diintegrasikan ke dalam manajemen proyek."
"Register aset informasi lengkap telah dibuat dan mencakup semua server, aplikasi, dan database kritis.",A.5.9,Yes,Implemented,"Inventarisasi aset telah didokumentasikan secara komprehensif."
"Organisasi belum memiliki inventarisasi lengkap atas aset informasi yang dimiliki.",A.5.9,Yes,Not Implemented,"Inventarisasi aset informasi belum dilakukan."
"Kebijakan penggunaan email dan internet yang dapat diterima telah ditandatangani oleh semua karyawan.",A.5.10,Yes,Implemented,"Aturan penggunaan yang dapat diterima telah diimplementasikan."
"Proses pengembalian laptop dan kartu akses dilakukan secara konsisten saat karyawan keluar.",A.5.11,Yes,Implemented,"Prosedur pengembalian aset telah berjalan efektif."
"Informasi diklasifikasikan ke dalam empat tingkat: rahasia, terbatas, internal, dan publik.",A.5.12,Yes,Implemented,"Skema klasifikasi informasi telah ditetapkan dan diterapkan."
"Belum ada skema klasifikasi informasi yang diterapkan di organisasi.",A.5.12,Yes,Not Implemented,"Klasifikasi informasi belum dilakukan."
"Semua dokumen diberi label sesuai tingkat klasifikasinya baik dalam format cetak maupun elektronik.",A.5.13,Yes,Implemented,"Prosedur pelabelan informasi telah diimplementasikan."
"Transfer data antar kantor cabang menggunakan enkripsi end-to-end dan dicatat dalam log audit.",A.5.14,Yes,Implemented,"Pengendalian transfer informasi telah diterapkan dengan baik."
"Data sensitif dikirim melalui email tanpa enkripsi dan tanpa verifikasi penerima.",A.5.14,Yes,Not Implemented,"Prosedur transfer informasi yang aman belum diterapkan."
"Kebijakan pengendalian akses berbasis peran telah diterapkan di semua sistem informasi kritis.",A.5.15,Yes,Implemented,"Pengendalian akses telah diimplementasikan berdasarkan prinsip RBAC."
"Tidak ada kebijakan formal untuk pengendalian akses ke sistem dan data organisasi.",A.5.15,Yes,Not Implemented,"Kebijakan pengendalian akses belum ditetapkan."
"Sistem manajemen identitas terpusat digunakan untuk mengelola siklus hidup semua akun pengguna.",A.5.16,Yes,Implemented,"Manajemen identitas telah diimplementasikan secara terpusat."
"Multi-factor authentication telah diterapkan untuk akses ke semua sistem kritis organisasi.",A.5.17,Yes,Implemented,"Autentikasi yang kuat telah diimplementasikan."
"Kata sandi masih menggunakan format sederhana tanpa persyaratan kompleksitas minimum.",A.5.17,Yes,Partially Implemented,"Kebijakan kata sandi ada tetapi belum memenuhi standar keamanan."
"Hak akses pengguna ditinjau setiap enam bulan dan akses yang tidak diperlukan dicabut.",A.5.18,Yes,Implemented,"Peninjauan hak akses dilakukan secara berkala."
"Penilaian risiko keamanan dilakukan untuk semua pemasok sebelum diberikan akses ke sistem.",A.5.19,Yes,Implemented,"Keamanan informasi dalam hubungan pemasok telah diterapkan."
"Kontrak dengan pemasok tidak mencantumkan klausul keamanan informasi atau hak audit.",A.5.20,Yes,Not Implemented,"Persyaratan keamanan belum disertakan dalam perjanjian pemasok."
"Klausul keamanan informasi standar disertakan dalam semua kontrak pemasok dan ditinjau secara berkala.",A.5.20,Yes,Implemented,"Perjanjian pemasok mencakup persyaratan keamanan informasi."
"Rantai pasokan TIK dipetakan dan setiap pemasok dinilai persyaratan keamanannya.",A.5.21,Yes,Implemented,"Manajemen keamanan rantai pasokan TIK telah diterapkan."
"Tidak ada pemantauan terhadap praktik keamanan pemasok layanan TI setelah kontrak ditandatangani.",A.5.22,Yes,Not Implemented,"Pemantauan layanan pemasok belum dilakukan secara teratur."
"Audit keamanan pemasok dilakukan setiap tahun dan hasil ditindaklanjuti dengan action plan.",A.5.22,Yes,Implemented,"Pemantauan dan peninjauan layanan pemasok berjalan efektif."
"Kebijakan penggunaan layanan cloud telah ditetapkan termasuk kriteria pemilihan penyedia dan persyaratan keamanan.",A.5.23,Yes,Implemented,"Keamanan layanan cloud dikelola sesuai kebijakan."
"Layanan cloud digunakan tanpa penilaian keamanan atau kontrak yang memadai.",A.5.23,Yes,Not Implemented,"Penggunaan layanan cloud belum dikelola dengan aman."
"Tim CSIRT telah dibentuk dengan prosedur operasi standar dan melakukan simulasi insiden dua kali setahun.",A.5.24,Yes,Implemented,"Perencanaan pengelolaan insiden keamanan telah ditetapkan."
"Belum ada prosedur formal untuk menangani insiden keamanan informasi di organisasi.",A.5.24,Yes,Not Implemented,"Perencanaan dan persiapan pengelolaan insiden belum dilakukan."
"Setiap peristiwa keamanan dinilai tingkat keparahannya menggunakan matriks klasifikasi yang terdokumentasi.",A.5.25,Yes,Implemented,"Penilaian peristiwa keamanan dilakukan secara sistematis."
"Prosedur respons insiden mencakup containment, eradication, recovery, dan lessons learned.",A.5.26,Yes,Implemented,"Respons terhadap insiden keamanan telah terstruktur."
"Post-incident review dilakukan untuk setiap insiden signifikan dan hasilnya diintegrasikan ke program perbaikan.",A.5.27,Yes,Implemented,"Pembelajaran dari insiden keamanan diterapkan secara konsisten."
"Prosedur forensik digital telah ditetapkan untuk pengumpulan dan pelestarian bukti insiden keamanan.",A.5.28,Yes,Implemented,"Pengumpulan bukti telah distandarisasi."
"Persyaratan keamanan informasi telah diintegrasikan ke dalam rencana kelangsungan bisnis dan diuji berkala.",A.5.29,Yes,Implemented,"Keamanan informasi selama gangguan telah direncanakan."
"RTO dan RPO telah ditetapkan untuk semua layanan TIK kritis dengan solusi backup yang sesuai.",A.5.30,Yes,Implemented,"Kesiapan TIK untuk kelangsungan bisnis telah diterapkan."
"Tidak ada rencana pemulihan TIK yang terdokumentasi untuk layanan bisnis kritis.",A.5.30,Yes,Not Implemented,"Kesiapan TIK untuk kelangsungan bisnis belum disiapkan."
"Register kepatuhan mencantumkan semua persyaratan hukum termasuk UU PDP dan regulasi terkait.",A.5.31,Yes,Implemented,"Identifikasi persyaratan hukum dan regulasi telah dilakukan."
"Audit lisensi perangkat lunak dilakukan secara berkala untuk memastikan kepatuhan hak kekayaan intelektual.",A.5.32,Yes,Implemented,"Kepatuhan hak kekayaan intelektual dipantau secara aktif."
"Kebijakan retensi catatan telah ditetapkan dengan jadwal yang jelas dan penyimpanan yang aman.",A.5.33,Yes,Implemented,"Perlindungan catatan diimplementasikan dengan baik."
"Program perlindungan data pribadi telah dikembangkan sesuai UU Perlindungan Data Pribadi.",A.5.34,Yes,Implemented,"Privasi dan perlindungan data pribadi diterapkan sesuai regulasi."
"Organisasi belum memiliki kebijakan privasi data yang sesuai dengan UU Perlindungan Data Pribadi.",A.5.34,Yes,Not Implemented,"Perlindungan data pribadi belum memenuhi persyaratan hukum."
"Audit keamanan informasi independen dilakukan setiap tahun oleh auditor eksternal bersertifikasi.",A.5.35,Yes,Implemented,"Tinjauan independen keamanan informasi dilaksanakan secara berkala."
"Tinjauan kepatuhan keamanan informasi dilakukan setiap kuartal dengan checklist standar.",A.5.36,Yes,Implemented,"Kepatuhan terhadap kebijakan dan standar ditinjau secara teratur."
"Prosedur operasional standar untuk semua sistem kritis telah didokumentasikan dan diperbarui berkala.",A.5.37,Yes,Implemented,"Prosedur operasional telah didokumentasikan."
"Belum ada dokumentasi prosedur operasional untuk pengelolaan sistem TI organisasi.",A.5.37,Yes,Not Implemented,"Prosedur operasional belum didokumentasikan."
"Pemeriksaan latar belakang dilakukan untuk semua kandidat karyawan sebelum diberikan akses ke sistem.",A.6.1,Yes,Implemented,"Penyaringan pra-kerja telah dilaksanakan sesuai prosedur."
"Tidak ada proses verifikasi latar belakang untuk karyawan baru sebelum memulai pekerjaan.",A.6.1,Yes,Not Implemented,"Penyaringan pra-kerja belum diterapkan."
"Kontrak kerja mencantumkan klausul keamanan informasi termasuk kewajiban kerahasiaan.",A.6.2,Yes,Implemented,"Syarat ketenagakerjaan mencakup tanggung jawab keamanan informasi."
"Program kesadaran keamanan informasi dilaksanakan tahunan termasuk simulasi phishing untuk semua karyawan.",A.6.3,Yes,Implemented,"Kesadaran dan pelatihan keamanan informasi berjalan efektif."
"Karyawan tidak pernah menerima pelatihan tentang keamanan informasi atau ancaman siber.",A.6.3,Yes,Not Implemented,"Program kesadaran keamanan informasi belum ada."
"Prosedur disiplin bertahap telah ditetapkan untuk pelanggaran kebijakan keamanan informasi.",A.6.4,Yes,Implemented,"Proses pendisiplinan untuk pelanggaran keamanan telah ditetapkan."
"Prosedur offboarding mencakup pencabutan akses dan pengembalian aset dalam waktu 24 jam.",A.6.5,Yes,Implemented,"Tanggung jawab setelah pemutusan kerja dikelola dengan baik."
"Semua karyawan dan kontraktor telah menandatangani perjanjian kerahasiaan sebelum mendapat akses.",A.6.6,Yes,Implemented,"Perjanjian kerahasiaan telah diterapkan secara menyeluruh."
"Kebijakan kerja jarak jauh mencakup VPN wajib dan enkripsi perangkat untuk semua karyawan remote.",A.6.7,Yes,Implemented,"Keamanan kerja jarak jauh telah diimplementasikan."
"Karyawan bekerja dari rumah tanpa VPN dan menggunakan jaringan Wi-Fi publik untuk mengakses sistem kantor.",A.6.7,Yes,Not Implemented,"Keamanan kerja jarak jauh belum diterapkan."
"Portal pelaporan insiden keamanan tersedia 24/7 dan semua karyawan telah dilatih cara menggunakannya.",A.6.8,Yes,Implemented,"Mekanisme pelaporan peristiwa keamanan informasi telah berjalan."
"Perimeter keamanan fisik dengan kartu akses dan CCTV telah diterapkan di semua gedung kantor.",A.7.1,Yes,Implemented,"Perimeter keamanan fisik telah diimplementasikan."
"Kantor tidak memiliki kontrol akses fisik dan siapa saja dapat masuk tanpa identifikasi.",A.7.1,Yes,Not Implemented,"Perimeter keamanan fisik belum ditetapkan."
"Sistem kartu akses biometrik digunakan untuk mengontrol masuk ke ruang server dan area sensitif.",A.7.2,Yes,Implemented,"Kontrol masuk fisik telah diterapkan di area aman."
"Ruang server dikunci dengan akses terbatas dan dilengkapi dengan sistem pendingin serta deteksi kebakaran.",A.7.3,Yes,Implemented,"Keamanan fisik ruangan dan fasilitas telah diterapkan."
"CCTV dipasang di semua titik strategis dengan rekaman disimpan selama 90 hari.",A.7.4,Yes,Implemented,"Pemantauan keamanan fisik berjalan secara berkelanjutan."
"Tidak ada kamera keamanan atau sistem alarm di fasilitas organisasi.",A.7.4,Yes,Not Implemented,"Pemantauan keamanan fisik belum diimplementasikan."
"Sistem pemadam kebakaran otomatis dan UPS terpasang di pusat data untuk perlindungan lingkungan.",A.7.5,Yes,Implemented,"Perlindungan terhadap ancaman fisik dan lingkungan telah diterapkan."
"Aturan ketat untuk bekerja di area aman termasuk larangan perangkat rekam tanpa izin telah ditegakkan.",A.7.6,Yes,Implemented,"Aturan bekerja di area aman telah diterapkan."
"Kebijakan meja bersih dan layar bersih diterapkan dengan penguncian otomatis setelah 5 menit tidak aktif.",A.7.7,Yes,Implemented,"Kebijakan meja bersih dan layar bersih telah berjalan."
"Dokumen sensitif sering dibiarkan terbuka di meja tanpa pengawasan dan komputer tidak dikunci.",A.7.7,Yes,Not Implemented,"Kebijakan meja bersih dan layar bersih belum diterapkan."
"Server ditempatkan di ruangan terkendali dengan kontrol suhu dan kelembaban yang dipantau 24/7.",A.7.8,Yes,Implemented,"Penempatan dan perlindungan peralatan telah diterapkan."
"Semua laptop yang digunakan di luar kantor dienkripsi dan dilengkapi dengan kemampuan penghapusan jarak jauh.",A.7.9,Yes,Implemented,"Keamanan aset di luar lokasi telah diimplementasikan."
"Media penyimpanan yang tidak terpakai dimusnahkan menggunakan metode penghancuran fisik bersertifikasi.",A.7.10,Yes,Implemented,"Pengelolaan media penyimpanan sepanjang siklus hidup telah diterapkan."
"UPS dan generator cadangan terpasang dan diuji setiap bulan untuk semua sistem kritis.",A.7.11,Yes,Implemented,"Utilitas pendukung telah dilindungi dan diuji secara berkala."
"Infrastruktur kabel dilindungi dalam saluran tertutup dengan pemisahan kabel daya dan data.",A.7.12,Yes,Implemented,"Keamanan pengkabelan telah diimplementasikan."
"Jadwal pemeliharaan preventif diterapkan untuk semua peralatan TI kritis sesuai rekomendasi vendor.",A.7.13,Yes,Implemented,"Pemeliharaan peralatan dilaksanakan secara terjadwal."
"Semua hard disk dimusnahkan secara aman sebelum peralatan lama dibuang atau didaur ulang.",A.7.14,Yes,Implemented,"Pembuangan peralatan dilakukan dengan sanitasi data yang aman."
"Solusi MDM diterapkan pada semua perangkat endpoint dengan konfigurasi keamanan standar.",A.8.1,Yes,Implemented,"Keamanan perangkat titik akhir pengguna telah diimplementasikan."
"Laptop karyawan tidak memiliki enkripsi disk dan antivirus yang terpasang sudah kedaluwarsa.",A.8.1,Yes,Not Implemented,"Perlindungan perangkat titik akhir pengguna belum memadai."
"Akses administrator sistem menggunakan akun terpisah dengan pencatatan sesi dan tinjauan berkala.",A.8.2,Yes,Implemented,"Hak akses istimewa dikelola dengan ketat."
"Kontrol akses berbasis peran diterapkan pada semua aplikasi bisnis dengan prinsip deny-by-default.",A.8.3,Yes,Implemented,"Pembatasan akses informasi diterapkan secara konsisten."
"Kode sumber disimpan dalam repositori Git dengan code review wajib sebelum merge ke produksi.",A.8.4,Yes,Implemented,"Akses ke kode sumber dikelola melalui version control."
"Multi-factor authentication diterapkan untuk semua akses ke sistem kritis dengan batas percobaan login.",A.8.5,Yes,Implemented,"Autentikasi yang aman telah diimplementasikan."
"Pemantauan kapasitas real-time diterapkan dengan peringatan otomatis saat penggunaan melebihi 80 persen.",A.8.6,Yes,Implemented,"Manajemen kapasitas berjalan secara proaktif."
"Tidak ada pemantauan penggunaan sumber daya server sehingga beberapa sistem mengalami downtime karena kehabisan kapasitas.",A.8.6,Yes,Not Implemented,"Manajemen kapasitas belum diterapkan."
"Anti-malware enterprise di-deploy pada semua endpoint dengan pembaruan definisi otomatis harian.",A.8.7,Yes,Implemented,"Perlindungan terhadap malware telah diterapkan secara menyeluruh."
"Beberapa komputer karyawan tidak memiliki perangkat lunak antivirus yang terinstal.",A.8.7,Yes,Not Implemented,"Perlindungan malware belum diterapkan secara menyeluruh."
"Pemindaian kerentanan dilakukan setiap bulan dengan SLA penerapan patch berdasarkan tingkat keparahan.",A.8.8,Yes,Implemented,"Manajemen kerentanan teknis dijalankan secara berkala."
"Sistem operasi server belum diperbarui selama dua tahun dan banyak kerentanan kritis yang belum dipatch.",A.8.8,Yes,Not Implemented,"Manajemen kerentanan teknis belum diterapkan."
"Baseline konfigurasi keamanan ditetapkan untuk semua jenis server dan dipantau secara otomatis.",A.8.9,Yes,Implemented,"Manajemen konfigurasi keamanan telah distandarisasi."
"Prosedur penghapusan data yang aman diterapkan sesuai tingkat klasifikasi termasuk verifikasi kelengkapan.",A.8.10,Yes,Implemented,"Penghapusan informasi dilakukan secara aman dan terverifikasi."
"Teknik masking dan anonimisasi diterapkan untuk melindungi data sensitif di lingkungan pengujian.",A.8.11,Yes,Implemented,"Penyamaran data diterapkan sesuai kebutuhan."
"Solusi DLP diterapkan untuk memantau dan mencegah kebocoran data melalui email dan media penyimpanan.",A.8.12,Yes,Implemented,"Pencegahan kebocoran data telah diimplementasikan."
"Tidak ada mekanisme untuk mendeteksi atau mencegah pengiriman data sensitif ke pihak yang tidak berwenang.",A.8.12,Yes,Not Implemented,"Pencegahan kebocoran data belum diterapkan."
"Backup dilakukan menggunakan strategi 3-2-1 dengan pengujian pemulihan setiap kuartal.",A.8.13,Yes,Implemented,"Backup informasi dilakukan secara terstruktur dan diuji."
"Tidak ada prosedur backup yang terdokumentasi dan pemulihan data tidak pernah diuji.",A.8.13,Yes,Not Implemented,"Backup informasi belum dikelola dengan baik."
"Arsitektur high availability dengan failover otomatis diterapkan untuk semua layanan kritis.",A.8.14,Yes,Implemented,"Redundansi fasilitas pemrosesan informasi telah diimplementasikan."
"Sistem SIEM terpusat mencatat dan menganalisis log dari semua sistem kritis secara real-time.",A.8.15,Yes,Implemented,"Pencatatan log telah diimplementasikan secara terpusat."
"Log sistem tidak dikumpulkan secara terpusat dan tidak ada analisis rutin terhadap log keamanan.",A.8.15,Yes,Not Implemented,"Pencatatan log belum dikelola dengan baik."
"IDS/IPS dan SIEM digunakan untuk memantau jaringan dan mendeteksi perilaku anomali secara real-time.",A.8.16,Yes,Implemented,"Aktivitas pemantauan keamanan berjalan secara efektif."
"Semua server disinkronisasi waktunya menggunakan NTP ke sumber referensi yang sama.",A.8.17,Yes,Implemented,"Sinkronisasi jam telah diterapkan pada semua sistem."
"Akses ke program utilitas istimewa dibatasi dan semua penggunaan dicatat untuk audit.",A.8.18,Yes,Implemented,"Penggunaan program utilitas istimewa dikendalikan dengan ketat."
"Kebijakan whitelist perangkat lunak diterapkan dan instalasi hanya boleh oleh tim TI yang berwenang.",A.8.19,Yes,Implemented,"Instalasi perangkat lunak pada sistem operasional dikendalikan."
"Arsitektur jaringan menggunakan segmentasi dengan firewall dan IDS/IPS di setiap zona keamanan.",A.8.20,Yes,Implemented,"Keamanan jaringan diterapkan dengan arsitektur pertahanan berlapis."
"Jaringan kantor tidak memiliki firewall dan semua perangkat berada dalam satu segmen yang sama.",A.8.20,Yes,Not Implemented,"Keamanan jaringan belum diimplementasikan."
"SLA keamanan ditetapkan untuk semua layanan jaringan dan kepatuhan penyedia dipantau secara berkala.",A.8.21,Yes,Implemented,"Keamanan layanan jaringan dikelola melalui SLA."
"Jaringan dipisahkan menggunakan VLAN dan firewall berdasarkan klasifikasi data dan fungsi bisnis.",A.8.22,Yes,Implemented,"Pemisahan jaringan telah diimplementasikan."
"Solusi penyaringan web memblokir situs berbahaya dan memantau penggunaan internet secara terpusat.",A.8.23,Yes,Implemented,"Penyaringan web telah diterapkan."
"Enkripsi AES-256 diterapkan untuk data at rest dan TLS 1.3 untuk data in transit di semua sistem.",A.8.24,Yes,Implemented,"Penggunaan kriptografi telah distandarisasi."
"Organisasi tidak menerapkan enkripsi pada data sensitif baik saat disimpan maupun saat ditransmisikan.",A.8.24,Yes,Not Implemented,"Penggunaan kriptografi belum diterapkan."
"Praktik SDLC aman diterapkan termasuk threat modeling dan code review keamanan di setiap fase.",A.8.25,Yes,Implemented,"Siklus hidup pengembangan yang aman telah diimplementasikan."
"Persyaratan keamanan aplikasi didefinisikan berdasarkan OWASP Top 10 dan divalidasi dalam pengujian.",A.8.26,Yes,Implemented,"Persyaratan keamanan aplikasi ditetapkan sesuai standar."
"Prinsip defense in depth dan security by design diterapkan pada semua proyek pengembangan sistem.",A.8.27,Yes,Implemented,"Prinsip rekayasa sistem yang aman diterapkan secara konsisten."
"Standar pengkodean aman berdasarkan OWASP diterapkan dengan validasi input di semua titik masuk.",A.8.28,Yes,Implemented,"Pengkodean yang aman dilaksanakan sesuai standar."
"Pengembang tidak mengikuti standar pengkodean aman dan banyak kerentanan ditemukan dalam kode produksi.",A.8.28,Yes,Not Implemented,"Praktik pengkodean yang aman belum diterapkan."
"SAST dan DAST terintegrasi dalam pipeline CI/CD dengan pengujian penetrasi sebelum setiap rilis.",A.8.29,Yes,Implemented,"Pengujian keamanan dalam pengembangan telah diotomatisasi."
"Persyaratan keamanan disertakan dalam kontrak pengembangan pihak ketiga dengan hak audit.",A.8.30,Yes,Implemented,"Keamanan pengembangan yang dialihdayakan dikelola melalui kontrak."
"Lingkungan pengembangan, pengujian, dan produksi terpisah secara fisik dengan kontrol akses ketat.",A.8.31,Yes,Implemented,"Pemisahan lingkungan telah diterapkan sesuai standar."
"Pengembang memiliki akses langsung ke server produksi dan sering melakukan perubahan tanpa prosedur formal.",A.8.31,Yes,Not Implemented,"Pemisahan lingkungan pengembangan dan produksi belum diterapkan."
"Semua perubahan pada sistem produksi melalui proses manajemen perubahan dengan penilaian dampak keamanan.",A.8.32,Yes,Implemented,"Manajemen perubahan diterapkan dengan assessment keamanan."
"Data sintetis digunakan untuk pengujian dan data produksi dianonimisasi jika harus digunakan.",A.8.33,Yes,Implemented,"Informasi pengujian dikelola dengan aman."
"Prosedur audit sistem telah ditetapkan untuk meminimalkan gangguan operasional selama pengujian.",A.8.34,Yes,Implemented,"Perlindungan sistem selama audit telah direncanakan."
"Proses penilaian risiko keamanan informasi tidak relevan untuk unit bisnis yang hanya menangani data publik.",A.5.8,No,Not Implemented,"Unit bisnis ini hanya menangani data yang sudah bersifat publik sehingga penilaian risiko proyek tidak applicable."
"Kontrol keamanan fisik tidak diperlukan karena organisasi sepenuhnya beroperasi secara virtual tanpa kantor fisik.",A.7.1,No,Not Implemented,"Organisasi cloud-native tanpa fasilitas fisik sehingga perimeter keamanan fisik tidak applicable."
"Pemisahan jaringan tidak relevan karena organisasi menggunakan arsitektur serverless sepenuhnya di cloud.",A.8.22,No,Not Implemented,"Arsitektur serverless tidak memerlukan pemisahan jaringan tradisional."
