sentence,ground_truth_control,baseline_control,rag_control,ground_truth_applicable,baseline_applicable,rag_applicable,ground_truth_status,baseline_status,rag_status,baseline_time,rag_time,baseline_raw,rag_raw,retrieved_controls,retrieval_scores
Organisasi telah menetapkan kebijakan keamanan informasi yang disetujui oleh direksi dan dikomunikasikan ke seluruh karyawan.,A.5.1,A.5.1,A.5.1,Yes,Yes,Yes,Implemented,Implemented,Implemented,96.17,49.19,"{""control_id"": ""A.5.1"", ""applicable"": ""Yes"", ""implementation_status"": ""Implemented"", ""justification"": ""Ini menunjukkan bahwa organisasi telah mengadopsi kebijakan keamanan informasi yang disetujui oleh direksi dan dikomunikasikan kepada seluruh karyawan, yang sesuai dengan kontrol A.5.1 Kebijakan."", ""recommendation"": ""Bersikap konstruktif terhadap semua aspek lain dari sistem keamanan informasi untuk memastikan keseluruhan integritas dan efektivitas.""}","{""control_id"": ""A.5.1"", ""applicable"": ""Yes"", ""implementation_status"": ""Implemented"", ""justification"": ""Organisasi telah menetapkan kebijakan keamanan informasi yang disetujui dan dikomunikasikan, sesuai dengan kriteria A.5.1."", ""recommendation"": ""Tidak ditemukan perlu perbaikan untuk kebijakan ini.""}",A.5.1;A.5.4;A.6.3,0.7599;0.6753;0.6674
Belum ada pembagian tugas dan tanggung jawab keamanan informasi yang jelas di organisasi.,A.5.2,A.5.1,A.6.5,Yes,Yes,Yes,Not Implemented,Not Implemented,Not Implemented,22.12,45.89,"{""control_id"": ""A.5.1"", ""applicable"": ""Yes"", ""implementation_status"": ""Not Implemented"", ""justification"": ""Organisasi belum memiliki kebijakan resmi untuk pembagian tugas dan tanggung jawab yang jelas dalam bidang keamanan informasi."", ""recommendation"": ""Perlu dibuatkan kebijakan dan mengidentifikasi secara jelas tugas-tugas dan tanggung jawab dalam manajemen keamanan informasi.""}","{""control_id"": ""A.6.5"", ""applicable"": ""Yes"", ""implementation_status"": ""Not Implemented"", ""justification"": ""Organisasi belum mengidentifikasi dan menetapkan tanggung jawab setelah pemutusan atau perubahan hubungan kerja untuk keamanan informasi."", ""recommendation"": ""Menerapkan sistem pembagian tugas dan tanggung jawab yang jelas untuk keamanan informasi, sesuai dengan A.6.5.""}",A.6.5;A.6.6;A.5.36,0.5365;0.5015;0.5006
Setiap departemen memiliki penanggung jawab keamanan informasi yang ditunjuk secara resmi.,A.5.2,A.5.1,A.5.2,Yes,Yes,Yes,Implemented,Implemented,Implemented,21.62,43.56,"{""control_id"": ""A.5.1"", ""applicable"": ""Yes"", ""implementation_status"": ""Implemented"", ""justification"": ""Kebijakan tersebut mengacu pada penanggung jawab keamanan informasi yang ditunjuk, sesuai dengan A.5.1 Keberadaan Penanggung Jawab untuk Kecurangan Informasi (Information Security Officer - ISO)."", ""recommendation"": ""Tidak ada perbaikan diperlukan karena kontrol telah dilaksanakan.""}","{""control_id"": ""A.5.2"", ""applicable"": ""Yes"", ""implementation_status"": ""Implemented"", ""justification"": ""Penempatan tanggung jawab keamanan informasi telah didefinisikan dan dialokasikan secara jelas untuk setiap departemen dalam organisasi."", ""recommendation"": ""Tingkatkan kesadaran dan pengetahuan tentang peran ini di seluruh organisasi.""}",A.5.2;A.5.1;A.6.3,0.6651;0.6342;0.6191
Fungsi pengembangan dan operasional TI masih dilakukan oleh orang yang sama tanpa pemisahan tugas.,A.5.3,A.7.3,A.5.3,Yes,Yes,Yes,Not Implemented,Not Implemented,Partially Implemented,25.83,41.26,"{
  ""control_id"": ""A.7.3"",
  ""applicable"": ""Yes"",
  ""implementation_status"": ""Not Implemented"",
  ""justification"": ""Kondisi di mana fungsi pengembangan dan operasional TI dilakukan oleh orang yang sama dapat mengarah pada kurangnya pemisahan tugas, yang bisa menjadi celah keamanan."",
  ""recommendation"": ""Mendisiplinkan atau mengelola secara lebih terpisah fungsi pengembangan dan operasional TI untuk memastikan bahwa tugas-tugas ini dipartisi dengan benar.""
}","{""control_id"": ""A.5.3"", ""applicable"": ""Yes"", ""implementation_status"": ""Partially Implemented"", ""justification"": ""Fungsi pengembangan dan operasional TI masih dilakukan oleh satu orang, yang menambah risiko penyalahgunaan aset organisasi."", ""recommendation"": ""Memisahkan tugas pengembangan dan operasional TI untuk meminimalkan risiko modifikasi atau penyalahgunaan aset.""}",A.5.37;A.5.30;A.5.3,0.3522;0.3404;0.3330
Organisasi telah memisahkan tugas otorisasi pembayaran dan pelaksanaan transaksi keuangan.,A.5.3,A.5.2,A.5.3,Yes,Yes,Yes,Implemented,Implemented,Implemented,26.57,45.97,"{""control_id"": ""A.5.2"", ""applicable"": ""Yes"", ""implementation_status"": ""Implemented"", ""justification"": ""Kebijakan yang mengatur otorisasi pembayaran dan pelaksanaan transaksi keuangan harus berbeda, memastikan bahwa tidak ada akses tak sah terhadap informasi keuangan. Memisahkan tugas ini sesuai dengan A.5.2 pada ISO 27001."", ""recommendation"": ""Pastikan bahwa peraturan dan prosedur penggunaan otorisasi pembayaran telah disesuaikan dengan syarat organisasi.""}","{""control_id"": ""A.5.3"", ""applicable"": ""Yes"", ""implementation_status"": ""Implemented"", ""justification"": ""Kondisi audit menunjukkan bahwa organisasi telah memisahkan tugas otorisasi pembayaran dan pelaksanaan transaksi keuangan, mengurangi potensi modifikasi atau penyalahgunaan aset organisasi yang terkait."", ""recommendation"": ""Tidak ada perbaikan diperlukan karena kondisi audit sudah sesuai dengan kontrol ISO 27001.""}",A.5.11;A.5.3;A.5.14,0.4694;0.4324;0.3720
Manajemen belum menunjukkan komitmen terhadap keamanan informasi dan tidak mengalokasikan sumber daya yang memadai.,A.5.4,A.5.1,FAIL,Yes,Yes,FAIL,Not Implemented,Not Implemented,FAIL,27.08,50.83,"{
  ""control_id"": ""A.5.1"",
  ""applicable"": ""Yes"",
  ""implementation_status"": ""Not Implemented"",
  ""justification"": ""Manajemen belum menunjukkan komitmen terhadap keamanan informasi dan tidak mengalokasikan sumber daya yang memadai, yang menandakan bahwa kualitas manajemen dan implementasi strategis dalam manajemen keamanan informasi belum diwujudkan."",
  ""recommendation"": ""Manajemen harus memberikan komitmen dan alokasi sumber daya yang lebih besar untuk mendukung program keamanan informasi.""
}","{""control_id"": ""A.5.1"", ""applicable"": ""Yes/No"", ""implementation_status"": ""Not Implemented"", ""justification"": ""Manajemen belum menunjukkan komitmen terhadap keamanan informasi dengan membuat dan mengimplementasikan kebijakan keamanan yang diterima secara luas."", ""recommendation"": ""Mendorong manajemen untuk menyusun dan menerapkan kebijakan keamanan informasi sebagai langkah awal dalam mendukung kemampuan organisasi untuk menangani risiko keamanan informasi.""}",A.5.35;A.5.1;A.5.36,0.4907;0.4848;0.4815
Direksi secara aktif mendukung program keamanan informasi dengan menyediakan anggaran dan sumber daya yang cukup.,A.5.4,A.5.1,A.5.1,Yes,Yes,Yes,Implemented,Implemented,Implemented,16.39,46.47,"{""control_id"": ""A.5.1"", ""applicable"": ""Yes"", ""implementation_status"": ""Implemented"", ""justification"": ""Kebijakan keamanan informasi telah disusun untuk mendukung program tersebut."", ""recommendation"": ""Tidak ada perbaikan diperlukan.""}","{""control_id"": ""A.5.1"", ""applicable"": ""Yes"", ""implementation_status"": ""Implemented"", ""justification"": ""Kebijakan keamanan informasi harus dipublikasikan dan dikomunikasikan kepada seluruh karyawan, dan ini termasuk dukungan direksi dalam menyediakan anggaran dan sumber daya. Kalimat audit tersebut mencerminkan komitmen yang signifikan untuk mengimplementasikannya."", ""recommendation"": ""Dukungan pengelolaan anggaran dan sumber daya perlu didukung oleh instruksi lebih lanjut dari manajemen.""}",A.5.24;A.5.1;A.5.8,0.6095;0.5837;0.5737
Daftar kontak otoritas terkait seperti BSSN dan kepolisian siber telah dipelihara dan diperbarui.,A.5.5,A.5.1,A.5.5,Yes,Yes,Yes,Implemented,Implemented,Implemented,15.46,80.36,"{""control_id"": ""A.5.1"", ""applicable"": ""Yes"", ""implementation_status"": ""Implemented"", ""justification"": ""Kebijakan yang menentukan prosedur untuk mengelola dan perbarui daftar kontak otoritas terkait informasi data diri telah diterapkan."", ""recommendation"": """"}","{""control_id"": ""A.5.5"", ""applicable"": ""Yes"", ""implementation_status"": ""Implemented"", ""justification"": ""Daftar kontak BSSN dan kepolisian siber telah dipelihara dan diperbarui, sesuai dengan Kebijakan A.5.5 yang menekankan pentingnya memelihara dan dokumentasi struktural terhadap otoritas yang relevan."", ""recommendation"": ""Jika belum dilakukan, organisasi harus secara berkala melakukan periksa keaslian dan relevansi daftar kontak dengan otoritas pemerintah dan penegak hukum.""}",A.5.5;A.5.6;A.5.22,0.4868;0.4353;0.3919
Organisasi tidak memiliki kontak darurat dengan pihak berwenang untuk pelaporan insiden keamanan.,A.5.5,A.5.2,A.5.6,Yes,Yes,Yes,Not Implemented,Not Implemented,Not Implemented,82.00,48.26,"{""control_id"": ""A.5.2"", ""applicable"": ""Yes"", ""implementation_status"": ""Not Implemented"", ""justification"": ""Kontrol A.5.2 adalah tentang penanganan dan pengelolaan insiden keamanan, termasuk memiliki kontak darurat. Perusahaan tidak memiliki kontak darurat yang disediakan untuk pelaporan insiden keamanan."", ""recommendation"": ""Perusahaan harus menerapkan kontrol ini dengan menyediakan kontak darurat pihak berwenang dalam bentuk formulir atau jaringan telepon di mana individu dapat menghubungi mereka.""}","{
  ""control_id"": ""A.5.6"",
  ""applicable"": ""Yes"",
  ""implementation_status"": ""Not Implemented"",
  ""justification"": ""Organisasi tidak memiliki kontak darurat dengan pihak berwenang untuk pelaporan insiden keamanan."",
  ""recommendation"": ""Implementasikan sistem dan proses untuk mengatur kontak darurat dengan pihak berwenang untuk memfasilitasi pengiriman laporan insiden keamanan.""
}",A.5.6;A.5.35;A.6.8,0.4280;0.4228;0.4129
Organisasi tidak memiliki kontak darurat dengan pihak berwenang untuk pelaporan insiden keamanan.,A.5.5,A.5.13,A.5.6,Yes,Yes,Yes,Not Implemented,Not Implemented,Not Implemented,98.84,50.15,"{""control_id"": ""A.5.13"", ""applicable"": ""Yes"", ""implementation_status"": ""Not Implemented"", ""justification"": ""Organisasi tidak memiliki kebijakan resmi tentang kontak darurat dengan pihak berwenang untuk insiden keamanan."", ""recommendation"": ""Implementasikan kebijakan dan prosedur yang mencakup kontak darurat dengan pihak berwenang.""}","{""control_id"": ""A.5.6"", ""applicable"": ""Yes"", ""implementation_status"": ""Not Implemented"", ""justification"": ""Organisasi tidak memiliki kontak darurat dengan pihak berwenang untuk pelaporan insiden keamanan."", ""recommendation"": ""Implementasikan proses pengelolaan keamanan informasi yang mencakup pengaturan hubungan dan komunikasi dengan pihak berwenang.""}",A.5.6;A.5.35;A.6.8,0.4280;0.4228;0.4129
